class,motor_id,peak,trough,mean,RMS,Crest_Factor
1,1,0.50781,-0.72042,0.2183552734375,0.2653116676952493,1.9140130715370454
1,1,0.5462,-0.68203,0.22575921875,0.27834082968884566,1.962342357787003
1,1,0.50781,-0.68203,0.22108765625,0.2716808576669623,1.8691416258060205
1,1,0.50781,-0.72042,0.23107578125,0.28425233229034375,1.7864761070150441
1,1,0.50819,-0.68166,0.22115503906249998,0.2716846123229044,1.870514475056109
1,1,0.50819,-0.72004,0.23113410156249997,0.2842534038941145,1.7878062075531125
1,1,0.50819,-0.68166,0.2318175,0.28662676271127185,1.7730026156417076
1,1,0.50819,-0.75842,0.231445625,0.28567125424985884,1.7789329253111268
1,1,0.50875,-0.6811,0.23189253906249999,0.2866232064903819,1.7749783983980094
1,1,0.50875,-0.75786,0.2315159375,0.2856679338588009,1.7809139203263307
1,1,0.50875,-0.6811,0.22357265624999997,0.279776866397302,1.8184133897530355
1,1,0.54713,-0.71948,0.2316012109375,0.28557457971482136,1.9158918155333413
1,1,0.50871,-0.68113,0.2235680859375,0.27977721472224,1.8182681549140525
1,1,0.5471,-0.71952,0.231595,0.28557466150099214,1.9157862155011232
1,1,0.5471,-0.64275,0.2238654296875,0.2764295989806051,1.9791657695758758
1,1,0.50871,-0.71952,0.22776140625,0.2820900350951802,1.8033604052279115
1,1,0.54683,-0.64301,0.22383234375,0.27642987803617347,1.978187032041602
1,1,0.50845,-0.71978,0.2277322265625,0.28209254088516217,1.8024227028639734
1,1,0.54683,-0.71978,0.23349839843750003,0.2866183233447456,1.9078682535668556
1,1,0.50845,-0.71978,0.22757890625,0.27988461530630127,1.8166414736428451
1,1,0.54668,-0.71993,0.2334737890625,0.286616773485711,1.9073552233231537
1,1,0.5083,-0.71993,0.2275578125,0.2798844744976823,1.8161064521791086
1,1,0.5083,-0.75831,0.23385921875000001,0.2870978063227103,1.770476781103123
1,1,0.5083,-0.75831,0.23070234375,0.2853328720273481,1.7814281137270485
1,1,0.50886,-0.75775,0.23392953125,0.2870946419015753,1.7724468719776822
1,1,0.50886,-0.75775,0.23079046875,0.2853307656721625,1.7834038989846146
1,1,0.50886,-0.68098,0.2296590625,0.2812566015489125,1.8092375332619726
1,1,0.50886,-0.71937,0.22778734375,0.2832664320048905,1.7964006409033835
1,1,0.54777,-0.68046,0.22769710937499998,0.28398887020307456,1.928843195891096
1,1,0.58615,-0.68046,0.231647109375,0.2869816905064459,2.0424647961533786
1,1,0.54777,-0.71884,0.227804375,0.2866106910664599,1.9111987691798344
1,1,0.50939,-0.68046,0.23345019531250003,0.28776256581693677,1.7701746526824267
1,1,0.54616,-0.72045,0.227539609375,0.2865998294538375,1.9056536113116205
1,1,0.50778,-0.68207,0.233286328125,0.2877723152511374,1.7645199801685685
1,1,0.50778,-0.68207,0.2240031640625,0.2800358079691272,1.8132681091126057
1,1,0.50778,-0.68207,0.22952578125,0.2839778082755213,1.7880974681913913
1,1,0.50856,-0.68128,0.22407125,0.2800384445538237,1.81603636890025
1,1,0.50856,-0.68128,0.229619140625,0.28398241365553784,1.7908151193364672
1,1,0.58533,-0.71967,0.22774511718749998,0.2834602457514711,2.0649456450171804
1,1,0.50856,-0.68128,0.2235467578125,0.2775046204112814,1.8326181353170923
1,1,0.58503,-0.71997,0.2277076171875,0.2834643715893531,2.063857255569023
1,1,0.50826,-0.68158,0.2234951953125,0.27750413422807213,1.8315402810621797
1,1,0.50826,-0.68158,0.2253040625,0.2800099455781102,1.8151498117348774
