class,motor_id,peak,trough,mean,RMS,Crest_Factor
0,1,0.62435,-0.68065,0.2269243359375,0.2693696829354886,2.3178183721199455
0,1,0.66146,-0.52839,0.21227113281249999,0.2480242976323401,2.6669161300499606
0,1,0.62307,-0.68192,0.2269141796875,0.2693830247666357,2.3129519780979533
0,1,0.66146,-0.68192,0.21659917968749998,0.26829561663847934,2.4654148595028986
0,1,0.50793,-0.56677,0.21278078125,0.25335892233154134,2.0047843404359416
0,1,0.66108,-0.6823,0.216570546875,0.2682944430899916,2.4640092891460292
0,1,0.50755,-0.56715,0.21275519531249998,0.2533608395147312,2.003269333067115
0,1,0.6227,-0.6823,0.215702265625,0.2550974601393186,2.4410278317154526
0,1,0.58432,-0.75906,0.21527230468749997,0.26298692282052616,2.2218595272083763
0,1,0.62382,-0.68117,0.21575515625000002,0.2550954256024228,2.4454378142093787
0,1,0.58544,-0.75794,0.215386796875,0.2629940640415554,2.2260578470983865
0,1,0.58544,-0.71955,0.21642914062500002,0.2579267135541484,2.2697920348490555
0,1,0.54706,-0.64279,0.21051300781249999,0.2557489979383778,2.1390504143121336
0,1,0.5857,-0.71929,0.21643910156249999,0.2579246694735633,2.2708180694597457
0,1,0.54732,-0.64253,0.21053734375,0.2557491316685528,2.1400659170539
0,1,0.62409,-0.71929,0.210813515625,0.25644293354894276,2.4336408547630772
0,1,0.54732,-0.52738,0.21300812500000002,0.2544506235300746,2.15098706541511
0,1,0.62469,-0.71869,0.21083226562500001,0.256440302467626,2.436005549786244
0,1,0.54792,-0.52678,0.2130596875,0.25445893155103394,2.153274780571457
0,1,0.62469,-0.64193,0.2179466015625,0.2544988884238679,2.4545883240149116
0,1,0.54792,-0.79546,0.22072109374999999,0.2695519755654742,2.0327063040460267
0,1,0.62487,-0.64174,0.2179512890625,0.2544975500365561,2.455308508511157
0,1,0.54811,-0.79527,0.22074066406249998,0.26955142123868847,2.0334153590481248
0,1,0.54811,-0.56498,0.21236269531250002,0.2527677456933353,2.168433312155982
0,1,0.62487,-0.60336,0.20557296875,0.24547379190398055,2.5455670650348856
0,1,0.54672,-0.56636,0.2121999609375,0.25274671460139075,2.1631141708893717
0,1,0.62349,-0.60474,0.2055512109375,0.24548769300157264,2.539801455529609
0,1,0.54672,-0.64313,0.21273390625,0.2525305285969154,2.1649659668382686
0,1,0.54672,-0.68151,0.2179253125,0.26007982584529454,2.1021238314932202
0,1,0.54646,-0.64339,0.212712734375,0.252526570285188,2.1639703076902426
0,1,0.54646,-0.68177,0.2179271875,0.26008326725991765,2.1010963364047868
0,1,0.62322,-0.60501,0.2159551171875,0.25844194139094734,2.411450698156031
0,1,0.54646,-0.60501,0.21707601562499998,0.26173868132911926,2.0878075690801783
0,1,0.62409,-0.60414,0.2159891015625,0.25844923136538706,2.4147489110450557
0,1,0.54732,-0.60414,0.2171165625,0.2617364052000242,2.0911114737047263
0,1,0.54732,-0.68091,0.219876015625,0.26296060855341286,2.081376381850089
0,1,0.47056,-0.64253,0.2182383984375,0.25600961568626307,1.8380559602755937
0,1,0.54736,-0.68087,0.219876171875,0.26296039964608975,2.0815301495459955
0,1,0.47059,-0.64249,0.21824,0.2560090697718906,1.8381770630989969
0,1,0.58574,-0.68087,0.21757445312499998,0.2574771723270458,2.274920120902978
0,1,0.58574,-0.68087,0.2155412890625,0.2566259626648712,2.2824658655637275
0,1,0.58529,-0.68132,0.2175462890625,0.25746916063430664,2.273243127674269
0,1,0.58529,-0.68132,0.2155237109375,0.25663115599122144,2.280666187000385
0,1,0.58529,-0.7197,0.219946328125,0.26107123667449467,2.241878528846682
0,1,0.54691,-0.7197,0.214697578125,0.25869689736796714,2.114095706459449
0,1,0.58649,-0.7185,0.22000257812500001,0.2610820894493722,2.2463815929959807
